PARTIDOS,,,,REGIONES ,,,,,,,,,,,,,,,
,,,,DE ARICA Y PARINACOTA,DE TARAPACÁ,DE ANTOFAGASTA,DE ATACAMA,DE COQUIMBO,DE VALPARAISO,METROPOLITANA DE SANTIAGO,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DEL MAULE,DE ÑUBLE,DEL BIOBÍO,DE LA ARAUCANÍA,DE LOS RÍOS,DE LOS LAGOS,DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,DE MAGALLANES Y LA ANTÁRTICA CHILENA
RENOVACIÓN NACIONAL (RN),,,,09.06.08,08.02.88,08.02.88,08.02.88,08.02.88,08.02.88,08.02.88,22.01.96,08.02.88,06.09.18,13.05.96,08.02.88,09.06.08,08.02.88,19.06.95,08.02.88
PARTIDO DEMÓCRATA CRISTIANO (DC),,,,08.06.08,02.05.88,02.05.88,02.05.88,02.05.88,02.05.88,02.05.88,02.05.88,02.05.88,06.09.18,02.05.88,02.05.88,09.06.08,02.05.88,02.05.88,20.01.92
PARTIDO POR LA DEMOCRACIA (PPD),,,,09.06.08,09.05.88,26.02.96,05.02.96,09.05.88,27.05.88,09.05.88,22.01.96,09.05.88,06.09.18,27.05.88,04.12.91,09.06.08,09.05.88,12.03.92,27.03.96
UNIÓN DEMÓCRATA INDEPENDIENTE (UDI),,,,09.06.08,15.01.96,03.05.89,19.10.91,04.06.96,03.05.89,03.05.89,03.05.89,03.05.89,06.09.18,03.05.89,27.05.96,09.06.08,02.12.91,27.05.96,15.01.96
PARTIDO SOCIALISTA DE CHILE (PS) ,,,,09.06.08,13.09.96,24.04.91,28.02.91,24.04.91,09.09.96,31.07.91,31.07.91,31.07.91,06.09.18,31.07.91,31.07.91,09.06.08,19.12.90,13.03.95,19.12.90
PARTIDO RADICAL DE CHILE (PR),,,,09.06.08,18.08.94,18.08.94,18.08.94,18.08.94,18.08.94,18.08.94,18.08.94,18.08.94,06.09.18,18.08.94,18.08.94,09.06.08,18.08.94,18.08.94,18.08.94
PARTIDO COMUNISTA DE CHILE (PC),,,,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10,06.09.18,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10,28.05.10
EVOLUCIÓN POLÍTICA (EVÓPOLI),,,,13.04.16,10.06.16,26.05.16,10.06.16,13.04.16,13.04.16,13.04.16,10.05.16,13.04.16,06.09.18,13.04.16,13.04.16,13.04.16,13.04.16,13.04.16,13.04.16
REVOLUCIÓN DEMOCRÁTICA (RD),,,,,15.05.19,22.06.16,26.04.17,22.06.16,06.06.17,22.06.16,03.08.17,03.08.17,06.09.18,09.02.18,01.02.21,03.08.17,24.05.18,09.08.17,
FEDERACIÓN REGIONALISTA VERDE SOCIAL (FRVS),,,,08.01.21,17.12.20,25.04.17,25.04.17,25.04.17,05.01.21,05.01.21,25.04.17,17.12.20,26.01.24,05.01.21,22.05.20,,13.05.24,25.04.17,
COMUNES,,,,09.07.18,09.07.18,09.07.18,09.07.18,27.05.19,09.07.18,09.07.18,10.06.20,,,,,,09.07.18,,
PARTIDO LIBERAL DE CHILE,,,,13.11.18,13.11.18,13.11.18,,,19.05.20,28.04.20,,,28.03.24,10.02.21,18.01.24,,19.05.20,,
PARTIDO REPUBLICANO DE CHILE (PLR),,,,22.07.21,31.03.21,31.12.20,22.07.21,02.04.20,30.09.20,05.11.20,23.01.20,23.01.20,23.01.20,17.08.20,17.08.20,28.01.21,21.04.20,22.07.21,22.07.21
CONVERGENCIA SOCIAL (CS),,,,31.03.23,31.03.23,08.09.21,22.01.24,09.03.20,09.03.20,05.01.21,09.03.20,25.10.21,27.04.22,22.07.21,08.09.21,22.07.21,22.07.21,,05.06.20
PARTIDO DE LA GENTE (PDG),,,,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21,26.07.21
PARTIDO ACCIÓN HUMANISTA (AH),,,,09.12.22,09.12.22,09.12.22,,24.04.24,,12.04.24,,28.03.24,,,,,,,
PARTIDO HUMANISTA (PH),,,,01.02.23,01.02.23,01.02.23,,,,,,,,,,,,,
PARTIDO SOCIAL CRISTIANO ,,,,20.03.24,26.01.24,02.11.23,17.10.23,19.01.24,20.03.24,26.01.24,11.05.23,12.09.23,16.02.23,16.02.23,16.02.23,11.05.23,19.03.24,10.11.23,20.03.24
MOVIMIENTO AMARILLOS POR CHILE,,,,,,,,30.04.24,24.04.24,,29.12.23,19.03.24,31.08.23,19.03.24,30.06.23,30.06.23,30.06.23,,
PARTIDO DEMÓCRATAS CHILE (D),,,,23.05.24,28.03.24,20.03.24,,23.05.24,,,28.07.23,28.07.23,28.07.23,08.05.24,28.03.24,,,,
PARTIDO ALIANZA VERDE POPULAR,,,,,,,,,,13.05.24,31.08.23,31.08.23,31.08.23,,,,,,
PATRIA PROGRESISTA,,,,,,,,,,,31.08.23,31.08.23,31.08.23,19.03.24,,,,,
POPULAR,,,,29.09.23,29.09.23,29.09.23,,,,,,,,,,,,,
IGUALDAD,,,,,,17.10.23,17.10.23,17.10.23,,,,,,,,,,,
PARTIDO DE TRABAJADORES REVOLUCIONARIOS,,,,13.05.24,13.05.24,13.05.24,,,,,,,,,,,,,
