"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"1"," PARTIDO NACIONAL","14.04.87","08.04.87","","24.04.87","","","","04.01.88","","","17.07.90
","","3 AÑOS, 3 MESES Y 3 DÍAS","3","3","3","39","14","4","1987","17","7","1990","1987/04/14","1990/07/17"
"2"," PARTIDO RADICAL SOCIALISTA DEMOCRÁTICO","01.05.87","","","06.07.88","","","","05.04.89","","","09.05.90","","3 AÑOS, 0 MESES Y 8 DÍAS","3","0","8","36","1","5","1987","9","5","1990","1987/05/01","1990/05/09"
"3"," RENOVACIÓN NACIONAL (RN)","04.05.87","","","09.05.87","","","","08.02.88","","","","37 AÑOS, 1 MES Y 2 DÍAS ","","37","1","2","445","4","5","1987","","","","1987/05/04","#NUM!"
"4"," DEMOCRACIA RADICAL","12.05.87","","","22.05.87","","","","25.02.88","","","17.07.90","","3 AÑOS, 2 MESES Y 5 DÍAS","3","2","5","38","12","5","1987","17","7","1990","1987/05/12","1990/07/17"
"5"," AVANZADA NACIONAL","26.05.87","23.04.87","","29.05.87","","","","29.01.88","","","17.07.90","","3 AÑOS, 1 MES Y 19 DÍAS","3","1","19","37","26","5","1987","17","7","1990","1987/05/26","1990/07/17"
"6"," PARTIDO SOCIALISTA HISTÓRICO","11.06.87","28.12.88","","27.01.89","","05.10.89","","20.06.88","","","09.05.90","","2 AÑOS, 10 MESES Y 27 DÍAS","2","10","27","34","11","6","1987","9","5","1990","1987/06/11","1990/05/09"
"7"," SOCIAL DEMOCRACIA CHILENA","02.07.87","22.06.87","","11.07.87","","","","","","","20.10.88","","1 AÑO, 3 MESES Y 18 DÍAS","1","3","18","15","2","7","1987","20","10","1988","1987/07/02","1988/10/20"
"8"," SOCIALISTA CHILENO","15.09.87","19.06.87","","","","","","20.06.88","","","09.05.90","","2 AÑOS, 7 MESES Y 23 DÍAS","2","7","23","31","15","9","1987","9","5","1990","1987/09/15","1990/05/09"
"9"," PARTIDO DEMÓCRATA CRISTIANO (DC)","15.09.87","","","25.09.87","","","","02.05.88","","","","36 AÑOS, 8 MESES Y 20 DÍAS","","36","8","20","440","15","9","1987","","","","1987/09/15",""
"10"," PARTIDO POR LA DEMOCRACIA (PPD)","15.12.87","","","30.12.87","","","","09.05.88","","","","36 AÑOS, 5 MESES Y 19 DÍAS","","36","5","19","437","15","12","1987","","","","1987/12/15",""
