% de afiliados PDG por región y sexo considerando cantidad total nacional de afiliados 2024;;;
Región;Femenino;Masculino;Total general
Arica;7,98;15,47;11,59
Tarapacá;7,61;15,37;11,4
Antofagasta;11,05;20,62;15,98
Atacama;5,89;11;8,45
Coquimbo;7,02;13,9;10,51
Valparaíso;6,4;12,32;9,48
Metropolitana;3,93;8,53;6,29
Libertador Bdo. O'higgins;5,34;10,3;7,93
Maule;5,06;9,64;7,44
Ñuble;5,36;10,8;8,14
Biobio;8,75;15,26;12,14
Araucania;5,8;10,92;8,45
Rios;6,87;11,17;9,18
Lagos;8,29;14,41;11,59
Aisen del Gral. Carlos Ibañez;7,97;11,96;9,98
Magallanes y Antartica;9,06;14,46;11,95
Internacional;3,63;6,2;5,12
Total General;5,91;11,37;8,73
;;;
*Base de datos propia a partir de datos disponibles;;;
